what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.tasks.ui",1422376089312
os,sysinfo,,,"win32",1422376089328
arch,sysinfo,,,"x86_64",1422376089328
ws,sysinfo,,,"win32",1422376089328
locale,sysinfo,,,"en_US",1422376089328
processors,sysinfo,,,"4",1422376089328
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1422376089328
java.runtime.version,sysinfo,,,"1.7.0_09-b05",1422376089328
java.specification.name,sysinfo,,,"Java Platform API Specification",1422376089328
java.specification.vendor,sysinfo,,,"Oracle Corporation",1422376089328
java.specification.version,sysinfo,,,"1.7",1422376089328
java.vendor,sysinfo,,,"Oracle Corporation",1422376089328
java.version,sysinfo,,,"1.7.0_09",1422376089328
java.vm.info,sysinfo,,,"mixed mode",1422376089328
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1422376089328
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1422376089328
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1422376089328
java.vm.specification.version,sysinfo,,,"1.7",1422376089328
java.vm.vendor,sysinfo,,,"Oracle Corporation",1422376089328
java.vm.version,sysinfo,,,"23.5-b02",1422376089328
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1422376089359
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1422376089531
started,bundle,org.eclipse.team.svn.ui.startup,1.1.0.I20130527-1700,"org.eclipse.team.svn.ui.startup",1422376089531
started,bundle,org.eclipse.team.svn.core,1.1.1.I20130816-1700,"org.eclipse.team.svn.core",1422376089562
started,bundle,org.eclipse.mylyn.team.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.team.ui",1422376089562
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1422376089656
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1422376089656
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1422376089671
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1422376089687
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1422376089749
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1422376090155
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1422376096457
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1422376096754
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1422376096785
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1422376096800
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1422376097268
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422376098002
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422376231869
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1422376484851
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1422376510906
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1422376510973
started,bundle,org.eclipse.mylyn.java.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.java.ui",1422376520336
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1422376590337
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1422376590409
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1422376590589
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1422376591241
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1422376592900
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422376593203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422376594650
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1422376594714
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422376595204
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422376618585
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1422376619469
started,bundle,org.eclipse.mylyn.java.tasks,3.8.4.v20130429-0100,"org.eclipse.mylyn.java.tasks",1422376639957
started,bundle,org.eclipse.team.svn.ui,1.1.1.I20130816-1700,"org.eclipse.team.svn.ui",1422376640120
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1422376640230
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1422376641550
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1422376650556
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422376651323
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422376657547
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1422376659621
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422376662601
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1422376665039
